liste,rang,spruch,beschreibung,hinweise,schwarz1,schwarz2,schwarz3,schwarz4,schwarz5,rot1,rot2,rot3,rot4,rot5
Schwarze Magie,1,Tarnung,"Diese Formung verbirgt die wahre Natur einer Sache oder Person. Die Wahrnehmung wird erschwert. Lediglich der Former der Tarnung erkennt auf Anhieb immer die wahre Form. Der Former kann die Tarnung nach Belieben wieder aufheben. Die Einsatzmöglichkeiten sind zahllos z.B. das Verbergen eines Eingangs, eines Gemäldes oder einer Person, die in der Ecke eines Raumes steht.","Sichtweite","Effekt, 3m²","Effekt, Tarnung +1","Dauer, eine Stunde","Reichweite, Sichtlinie",,"Verst, +1 MP: weitere 3m²","Verst, +1 MP: +1 Tarnung","Verst, +1 MP: +1 Stunde","Erw, +30 MP: Effekt ist permanent (aber nicht unzerstörbar)",
Schwarze Magie,2,Trübung,"Die Magie trübt den Geist eines Wesens. Jede Wahrnehmung wird dadurch erschwert, als auch die Fähigkeit Täuschungen und Beeinflussungen zu erkennen (Trübung).","Sichtweite,Gezielt","Effekt, Trübung +1","Dauer, eine Runde","Betroffen, eine Person","Reichweite, Sichtlinie",,"Verst, +1 MP: +1 Trübung","Verst, +1 MP: +1 Runde","Verst, +1 MP: +1 Person",,,
Schwarze Magie,3,Feuer,"Der Spruch erschafft magisches Feuer. Alles im Feuer erleidet Schaden (Former führt einen magischen Angriff [Gezielte Sprüche] durch}. Solange man sich im Feuer befindet, erleidet man weiterhin Schaden (immer neue Angriffe). Diese Feuerformung kann nichts anderes entzünden oder entflammen.","Sichtweite, Gezielt","Effekt, Fläche von 3 m²","Effekt, Schaden entsprechend dem Angriff","Dauer, eine Runde","Reichweite, Sichtlinie",,"Verst, +1 MP: +3m² Fläche","Verst, +1 MP: Schaden +1 (maximal Schaden +5)","Verst, +1 MP: +1 Runde","Erw, +5 MP: Gezielte Sprüche +5 (Feuerexplosion)",
Schwarze Magie,4,Beschwörung,"Diese Formung beschwört eine wilde Kreatur (der Spielleiter kann die Wahl einschränken). Die Stufe wird bei Monstern durch den Schwierigkeitsgrad [SG] angegeben. Beispiele wären u.a. Raubtiere oder Dämonen. Aber Vorsicht: Die Kreatur macht was ihr gefällt und lebt ihre Natur aus. So mancher Zauberer wurde von Ihr getötet.","Sichtweite","Effekt, Kreatur der Stufe 1","Reichweite, Sichtlinie",,,,"Verst, +1 MP: +1 Stufe",,,,
Schwarze Magie,5,Bannung,"Mit dieser Formung verbannt man eine beschworene Kreatur. Damit kann man nicht nur die eigenen beschworenen Kreaturen bannen, sondern auch die anderer Zauberer - vorausgesetzt die Bannung Ist mächtig genug...","Sichtweite, Gezielt","Effekt, Kreatur der Stufe 1","Verbannung für ein Jahr","Reichweite, Sichtlinie",,,"Verst, +1 MP: +1 Stufe","Verst, +1 MP: +1 Jahr Verbannung",,,
Schwarze Magie,6,Beherrschung,"Diese Magie erlaubt es eine beschworene oder belebte Kreatur zu beherrschen und ihr Befehle zu geben, sofern diese nicht an jemand anderes gebunden ist. Vorsicht: Die Beherrschung ist vorübergehend.","Sichtweite","Effekt, Kreatur der Stufe 1","Dauer, eine Stunde","Reichweite, Sichtlinie",,,"Verst, +1 MP: +1 Stufe","Verst, +1 MP: +1 Stunde","Erw, +10 MP: Die Kontrolle einer anderen Person übergeben.",,
Schwarze Magie,7,Zerstörung,"Der Former zerstört eine beliebige Kreatur oder Formung. Normalerweise muss die Zerstörung alles umfassen.  Die Formung muss daher oft sehr mächtig sein. In manchen Situationen kann aber der Spielleiter entscheiden, dass auch nur Teile (also einzelne Stufen) zerstört werden können. Die Zerstörung einer einzelnen Stufe kann sich verschiedenen Arten äußern, wie Verfall, Gedächtnisverlust, Schwächung oder anderem.","Sichtweite, Gezielt","Effekt, Kreatur/Formung der Stufe/Rang 1","Reichweite, Sichtlinie",,,,"Verst, +4 MP: +1 Stufe/Rang",,,,
Schwarze Magie,8,Bindung,"Diese Formung bindet eine beschworene oder belebte Kreatur oder Zauber an einen Ort oder eine Person. Dieser Zauber kann auch eingesetzt werden, um eine Bindung aufzuheben, sofern der Former selbst diese etabliert hat.","Berührung, Gezielt","Effekt, Kreatur/Formung der Stufe/Rang 1",,,,,"Verst, +1 MP: +1 Stufe/Rang",,,,
Schwarze Magie,9,Belebung,"Mittels dieser Formung kann der Former einen Gegenstand vorübergehend beleben. Leichen gelten als Gegenstände und können so ebenfalls belebt werden (sie sind dann Untot}. Die Stufe des Untaten kann bei der Belebung nicht die Stufe übersteigen, die der Tote zu Lebzeiten kurz vor dem Zeitpunkt seines Todes hatte.  (Eine Ausnahme ist über die Erweiterung des Spruchs möglich.} Bei anderen Gegenständen erhält das so geschaffene Konstrukt die Stufe aus der Formung. Belebtes folgt nicht immer dem Wort des Schöpfers...","Berührung,Gezielt","Effekt, Gegenstand der Stufe 1","Dauer, eine Stunde",,,,"Verst, +1 MP: +1 Stufe","Verst, +1 MP: +1 Stunde","Erw, +20 MP: Die Stufenbegrenzung eines Untoten aufheben.",,
Schwarze Magie,10,Dauerhafte Belebung,"Die Formung belebt dauerhaft eine Leiche (Untoter). Diese Formung kann mehrere Leichen betreffen - wobei die Stufen der Leichen dann aufaddiert werden. Der Untote kann eine niedrigere Stufe haben, als der Tote zum Zeitpunkt des Todes hatte - nicht aber eine höhere. (Eine Ausnahme dazu ist die Erweiterung dieser Formung.) Die Untaten gehorchen ihrem Schöpfer nur gelegentlich. Zur Kontrolle sind daher weitere Maßnahmen empfehlenswert... Der Formende kann den Effekt nicht beenden.","Berührung, Gezielt","Effekt, Untoter der Stufe 1",,,,,"Verst, +2 MP: +1 Stufe","Verst, +2 MP: +1 Untoter","Erw, +30 MP: Die Stufenbegrenzung eines Untoten aufheben.",
Wilde Magie,1,Pfadfinder,Die Formung führt zu einer gesuchten Pflanze oder einem bekannten Ort innerhalb der Reichweite.,,"Reichweite, Pflanze oder bekannter Ort innerhalb von 1km",,,,,"Verst, +1 MP: +1 km","Erw, +5 MP: Tier oder bekannte Person",,,
Wilde Magie,2,Helfer,"Ein, oft überraschender, Helfer wird durch diese Formung angelockt. Die Art des Beistands entspricht den Fähigkeiten des Wesens. Der Spielleiter entscheidet, ob und welches Wesen zur Unterstützung erscheint. Es kann mehrere Runden dauern, bis der Helfer erscheint.",Speziell,"Effekt, Tier oder belebte Pflanze der Stufe 1","Dauer, eine Stunde","Reichweite, 1km pro Stufe",,,"Verst, +1 MP: +1 Stufe","Verst, +1 MP: +1 Stunde","Erw, +5 MP: Magische Kreatur",,
Wilde Magie,3,Animation,"Diese Formung belebt eine Pflanze, die dann beispielsweise  ihren Wurzeln laufen und mit ihren Ästen greifen kann. Es ist sogar eine (oft sehr eingeschränkte) Kommunikation möglich.","Sichtweite","Effekt, Pflanze der Stufe 1","Dauer, eine Stunde","Reichweite, Sichtlinie",,,"Verst, +1 MP: +1 Stufe","Verst, +1 MP: +1 Stunde","Erw, +30 MP: Die Animation ist dauerhaft (aber nicht unzerstörbar)",,
Wilde Magie,4,Animalie,"Der Former erhält kurzzeitig das Wissen eines Tieres. Er kann sehen, was das Tier sieht oder gesehen hat etc. Hält der Formende die Verbindung (wenn der Effekt verlängert wird), dann sind alle anderen Manöver um 4 erschwert.","Berührung","Effekt, Kreatur der Stufe 1","Dauer, eine Runde",,,,"Verst, +1 MP: +1 Stufe","Verst, +1 MP: +1 Runde",,,
Wilde Magie,5,Tierfreund,"Mittels dieses Spruches findet der Formende einen (neuen) dauerhaften Tierfreund. Es kann mehrere Minuten dauern, bis der neue Freund gefunden wird.","Speziell","Effekt, Kreatur der Stufe 1","Reichweite, 1km pro Stufe",,,,"Verst, +3 MP: +1 Stufe","Erw, 20 MP: Magische Kreatur",,,
Wilde Magie,6,Wandlung,"Hiermit verwandelt der Former den Formenden oder eine andere Kreatur in ein (nicht-magisches) Tier einer bekannten oder ausgedachten Art. Ohne weitere Maßnahmen, erinnert man sich nur lückenhaft an die Zeit in der Wandlung. Man verfügt über alle Eigenschaften und Fähigkeiten des Tieres. Wenn sich der Formende selbst wandelt, dann besteht das Risiko, dass er die Wandlung länger als beabsichtigt aufrecht erhält und seine Form nicht so schnell verlassen will. Handlungen sind schwerer zu kontrollieren und Instinkte können immer wieder mal die Oberhand gewinnen.","Berührung, Gezielt","Effekt, Tier der Stufe 1","Dauer, ein Tag",,,,"Verst, +1 MP: +1 Stufe","Verst, +5 MP: +1 Tag","Erw, +20 MP: fast volle Erinnerung und Kontrolle","Erw, +30 MP: Die Wandlung ist dauerhaft (aber nicht unzerstörbar)",
Wilde Magie,7,Tierfreund,"Diese Formung gewährt die Eigenschaft eines Tieres, wie beispielsweise unter Wasser zu atmen, zu fliegen oder im Dunkeln zu sehen. (Der Former muss die Tierspezies nur kennen. Es muss kein Exemplar vorhanden sein.)","Berührung","Effekt, Eine Eigenschaft","Effekt, Tier der Stufe 1","Dauer, eine Stunde",,,"Verst, +5 MP: +1 Eigenschaft des selben Tieres","Verst, +1 MP: +1 Stufe","Verst, +1 MP: +1 Stunde",,
Wilde Magie,8,Erde,"Durch diese Formung wird direkt vor dem Former ein Erdelementar zur Hilfe gerufen, der sich in der Regel auch direkt aus der Erde formt. Wie alle Helfer und Freunde, wird es dem Formenden auch im Kampf beistehen.  Eine höhere Stufe kann auch bedeuten, dass verschiedene Erdelementare kommen. Die Stufe ist daher die Gesamtstufe aller erschienenen Elementare.",,"Effekt, Elementar der Stufe 1","Dauer, eine Stunde",,,,"Verst, +1 MP: +1 Stufe","Verst, +5 MP: +1 Stunde (maximal 5)",,,
Wilde Magie,9,Elemente,"Ein Elementar wird durch diese Formung angelockt und eilt zur Hilfe. Der Spielleiter entscheidet, welche Art das Elementar ist. Die Stufe ist die Gesamtstufe der Elementare - wird er Spruch also verstärkt, dann könnten mehrere erscheinen.",,"Effekt, Elementar der Stufe 1","Dauer, 10 Minuten",,,,"Verst, +1 MP: +1 Stufe","Verst, +1 MP: +10 Minuten",,,
Wilde Magie,10,Leben,"Die Form spendet Leben. Mit ihr kann sogar eine tote Person wieder zum Leben erweckt werden. Sie wird 'belebt', aber ist nicht untot, sondern wirklich 'zurück'. Wird eine Person, die zum Zeitpunkt ihres Todes eine höhere Stufe hatte, mit einer niedrigeren Stufe wiederbelebt, dann hat sie alle anderen (zunächst) verloren. Diese Formung kann allerdings auch verlorene Stufen und Erfahrungen zurückbringen - auch nach einer solchen Belebung. Der Formende kann den Effekt nicht beenden.","Berührung","Effekt, Spendet eine Stufe zurück","Effekt, nicht länger als einen Tag tot","Betroffen, eine Person",,,"Verst, +1 MP: +1 Stufe","Verst, +1 MP: +1 Tag","Verst, +5 MP: +1 Person",,
Elementare Magie,1,Wasserfreund,"Der Person (kann auch der Formende sein) wachsen Kiemen, die es ihr ermöglichen unter Wasser zu atmen. Wenn die Person dies nicht will, dann ist ein Gezielte Sprüche-Angriff notwendig.","Berührung, Gezielt","Dauer, eine Stunde","Betroffen, eine Person",,,,"Verst, +1 MP: +1 Stunde","Verst, +1 MP: +1 Person","Erw, +5 MP: man kann zusätzlich auch normal atmen",,
Elementare Magie,2,Entzünden,"Die Form entzündet etwas Brennbares. Der Formende kann den Effekt nicht beenden.","Sichtweite, Gezielt","Reichweite, 10m Sichtlinie",,,,,"Verst, +1 MP: +10m","Erw, +5 MP: Entzündet es fünf Runden lang immer wieder.","Erw, +10 MP: Magisches Feuer, das auch nicht Brennbares für fünf Runden so in Flammen setzt, als ob es brennbar wäre.",,
Elementare Magie,3,Feuerball,"Der Spruch schafft einen Ball aus Feuer, der wie ein Geschoss verwendet wird und eine Leuchtspur hinterlässt. Gegner In Metallrüstungen erhalten -1 Schaden.","Sichtweite, Gezielt","Effekt, Schaden entsprechend dem Angriff","Reichweite, Sichtlinie",,,,"Verst, +1 MP: Schaden +1 (maximal +5)","Erw, +5 MP: Irre Flug- oder Schussbahn, schwer abzuwehren (Gegner erhält -5 DB gegen die Feuerbälle/Lanzen)","Erw, +3 MP: +1 Geschoss/Lanze (maximal 5), Regel zum 'Schießen von mehreren Pfeilen' analog anwenden","Erw, +5 MP: Feuerlanze (Gezielte Sprüche +3)","Erw, +10 MP: Explosion (jede/r Ball/Lanze verursacht im Umkreis von 6m den Schaden)"
Elementare Magie,4,Blitz,"Von dem Zauberer geht ein Blitz aus, der mehrere Ziele in einer Reihe treffen kann (überspringen oder durchbohren - je nach Schaden). Personen in Metallrüstungen erhalten +1 Schaden.","Sichtweite, Gezielt","Effekt, Schaden entsprechend dem Angriff","Betroffen, eine Person","Reichweite, Sichtlinie",,,"Verst, +1 MP: Schaden +1 (maximal +8)","Verst, +1 MP: +1 Person","Erw, +3 MP: Schockeffekt - nächstes Manöver des Opfers ist um 2 erschwert","Erw, +10 MP: Gleißend, alle die den Blitz sehen, sind nächste Runde blind (-8 auf entsprechende Manöver)",
Elementare Magie,5,Wall,"Diese Form schafft einen undurchdringlichen Wall aus Luft/Erde/Wasser/Feuer. Er weicht anderer Materie aus, umschließt sie aber nicht. Dieser Wall schützt gegen Angriffe aus einer Richtung.","Sichtweite","Effekt, 4m hoch und 1m lang","Dauer, eine Minute","Reichweite, Sichtlinie",,,"Verst, +1 MP: +1m lang","Verst, +1 MP: +1 Minute",,,
Elementare Magie,6,Sturm,"Hiermit entfesselt der Formende einen Sturm im Umkreis es dauert eine Minute, bis er sich zusammengezogen hat. Zuvor entstehen die typischen Anzeichen für ein Unwetter. Der Formende kann den Effekt nicht beenden.","Sichtweite, Gezielt","Effekt, Windstärke 10 [104 km/h]","Effekt, 1km Umkreis","Dauer, eine Stunde","Reichweite, Sichtlinie",,"Verst, +10 MP: +1 Windstärke (bis maximal 17 [220km/h])","Verst, +5 MP: +1km","Verst, +1 MP: +1 Stunde","Erw, +20 MP: Der Former kann den Sturm grob lenken.",
Elementare Magie,7,Elementar,"Dieser Spruch animiert einen Elementar zu erscheinen (Element muss vorhanden sein) und einem beizustehen.  Wie alle Helfer und Freunde, wird es dem Formenden auch im Kampf beistehen. Eine höhere Stufe kann auch bedeuten, dass verschiedene Erdelementare kommen. Die Stufe ist daher die Gesamtstufe aller Elementare.","Sichtweite","Effekt, Elementar der Stufe 5","Dauer, eine Stunde","Reichweite, Sichtlinie",,,"Verst, +1 MP: +1 Stufe","Verst, +1 MP: +1 Stunde","Erw, +20 MP: Das Element muss nicht vorhanden sein.",,
Elementare Magie,8,Flutwelle,"Diese Formung lässt ein Gewässer so unruhig werden, dass eine Flutwelle entsteht. Es dauert bis zu 10 Minuten, bevor die Welle kommt. Zuvor zieht sich das Wasser deutlich zurück. Der Formende kann den Effekt nicht beenden.","Sichtweite, Gezielt","Effekt, 10m breit","Effekt, 2m hoch","Reichweite, Sichtlinie",,,"Verst, +1 MP: +10m Breite","Verst, +1 MP: +2m Höhe (maximal 42m Höhe)","Erw, +10 MP: Die Flutwelle kommt überraschend binnen einer Runde.",,
Elementare Magie,9,Erdbeben,"Die Form 'Erdbeben' lässt die Erde im Umkreis erzittern. Das Beben kündigt sich 10 Minuten lang durch immer stärker werdende Vorbeben an. Die hier angegebene Stärke ist äquivalent zur Richterskala zu sehen. Der Formende kann den Effekt nicht beenden.","Sichtweite, Gezielt","Effekt, Beben der Stärke 4","Effekt, Radius von 10m","Reichweite, Sichtlinie",,,"Verst, +10 MP: +1 Stärkestufe (maximal 8)","Verst, +1 MP: +10m Radius","Erw, +20 MP: Das Beben kommt überraschend binnen einer Runde.",,
Elementare Magie,10,Feuerregen,"Wenn der „Feuerregen geformt wird, dann zieht sich der Himmel innerhalb von fünf Minuten zu. Die meisten Tiere flüchten. Es regnet heiße Lava im Umkreis und entzündet alles Brennbare. Funktioniert nur unter freiem Himmel. Der Formende kann den Effekt nicht beenden.","Sichtweite, Gezielt","Effekt, Radius von 1m","Dauer, 10 Runden","Effekt, Schaden entsprechend dem Angriff",,,"Verst, +5 MP: +10m Radius","Verst, +5 MP: +10 Runden","Verst, +10 MP: Schaden +1 (maximal +5)","Erw, +30 MP: Der Feuerregen kommt überraschend innerhalb einer Runde.","Erw, +50 MP: Der Feuerregen kann überall geformt werden"
Freie Magie,1,Blenden,"Diese Form erzeugt einen grelle Blitz, der eine Kreatur blenden kann. Geblendete erhalten -8 auf Ihre Manöver, die Sicht brauchen.","Sichtweite, Gezielt","Dauer, drei Runden","Reichweite, Sichtlinie",,,,"Verst, +1 MP: +3 Runden","Erw, +3 MP: Lichtexplosion, die alle im Umkreis von 10m für eine Runde blendet.",,,
Freie Magie,2,Illusion,"Der Formende kann hiermit eine einfache Illusion (Routine Wahrnehmungs-Manöver zum Entlarven) schaffen.","Sichtweite","Dauer, eine Minute","Reichweite, Sichtlinie",,,,"Verst, +1 MP: +1 Minute","Erw, +20 MP: Dauerhaft (aber nicht unzerstörbar)",,,
Freie Magie,3,Licht und Dunkelheit,"Dieser Spruch erschafft magisches Licht oder Dunkelheit um einen Gegenstand oder eine Kreatur. Das Licht oder die Dunkelheit strömen aus der geschaffenen Quelle. Diese kann nicht natürlich gelöscht oder zerstört, aber eingeschlossen werden (wie z. B. ein Tuch um den Stab wickeln, auf den die Dunkelheit gewirkt wurde).","Sichtweite, Gezielt","Effekt, Umkreis von 3km","Reichweite, Sichtlinie",,,,"Verst, +1 MP: +1 +3m Umkreis (maximal +30m)","Erw, +20 MP: Die Quelle kann nicht eingeschlossen werden",,,
Freie Magie,4,Explosion,"Die Form explodiert mit Licht und Schall. Sie verletzt alle Kreaturen im Umkreis von 5 m.","Sichtweite, Gezielt","Effekt, Schaden entsprechend dem Angriff","Reichweite, Sichtlinie",,,,"Verst, +1 MP: +1 Schaden +1 (maximal +8)","Erw, -2 MP: Bei der Kombination mit der Form Blenden.","Erw, +5 MP: Die Druckwelle wirft alle, die mehr als 5 Punkte Schaden erhalten haben, um.",,
Freie Magie,5,Große Illusion,"Dieser Spruch ist wie die Illusion (Rang 2). Sie kann aber nach Belieben detaillierter gestaltet werden und da.","Sichtweite","Effekt, sehr einfaches Manöver zum Entlarven","Dauer, eine Minute","Reichweite, Sichtlinie",,,"Verst, +1 MP: +1 -1 Malus auf das Manöver zum Entlarven","Verst, +1 MP: +1 Minute","Erw, +30 MP: Dauerhaft (aber nicht unzerstörbar)",,
Freie Magie,6,Schlaf,"Ein Schlaf überkommt die Zielperson. Sie muss sich mit einem einfachen KO-Manöver wachhalten (für fünf Minuten - wiederholbar), um nicht in einen leichten Schlaf zu fallen. Aus diesem kann sie mit einem einfachen Wahrnehmungsmanöver erwachen, wenn ein entsprechendes Moment passiert (wie Lärm).","Sichtweite, Gezielt","Effekt, leichter Schlaf","Betroffen, eine Person","Dauer, eine Stunde","Reichweite, Sichtlinie",,"Verst, +1 MP: +1 -1 Malus auf das Wahrnehmungsmanöver","Verst, +2 MP: +1 Person","Verst, +1 MP: +1 Stunde","Erw, +20 MP: Dauerhaft (aber nicht unzerstörbar)","Erw, +10 MP: Nur eine bestimmte Aktion, die der Former mit einem Wort festlegt, kann die Person aufwecken (Spielleiter legt aus)"
Freie Magie,7,Unsichtbarkeit,"Diese Formung lässt eine Person (nicht aber getragene Kleidung und Gegenstände) oder ein Objekt unsichtbar werden. Unsichtbare erhalten auf alle Manöver einen Malus von -1.","Berührung","Effekt, Gegenstand mit Volumen von 2m³","Dauer, eine Stunde","Betroffen, eine Person",,,"Verst, +2 MP: +2m³","Verst, +2 MP: +1 Stunde","Verst, +3 MP: +1 Person","Erw, +10 MP: Auch am Leib getragene Kleidung, Gegenstände und Waffen werden unsichtbar, wenn eine Person unsichtbar gemacht wird.",
Freie Magie,8,Sprung,"Die Form erlaubt einen Sprung aus dem Stand oder einen Fall ohne Schaden.","Speziell","Effekt, 4m hoch aus dem Stand","Effekt, Fall aus 10m Höhe",,,,"Verst, +1 MP: +4m (maximal 20m)","Verst, +4 MP: +10m",,,
Freie Magie,9,Stoßwelle,"Mit den Händen kann eine Druckwelle ausgesandt werden, die alle umreißt. Auch Gegenstände werden entsprechend umgestoßen bzw. erhalten entsprechenden Schaden. Beispielsweise kann damit auch eine Mauer durchstoßen werden, wenn der Schaden groß genug ist.","Sichtweite, Gezielt","Effekt, auf einer Linie von 2m Breite","effekt, Schaden entsprechend dem Angriff","Reichweite, Sichtlinie",,,"Verst, +1 MP: +2m","Verst, +2 MP: Schaden +1 (maximal +8)","Erw, +20 MP: Tödliche Präzision (Gezielte Sprüche +8, aber keine Linie, sondern 'nur' ein Punkt von 2 cm²)",,
Freie Magie,10,Flammenschwert,"Verzaubert ein Schwert so, dass der Zauberer es führen kann (Fertigkeitsrang entsprechend der Fertigkeit Gezielte Sprüche). Das Schwert ist entflammt und richtet zusätzlich Schaden an.","Berührung","Effekt, Schaden entsprechend dem Angriff","Effekt, KB entspricht Gezielte Sprüche + Attributsbonus","Dauer, eine Runde",,,"Verst, +2 MP: Schaden +1 (maximal +8)","Verst, +1 MP: +1 KB (maximal +5)","Verst, +1 MP: +1 Runde","Erw, +10 MP: Jeder Treffer entzündet den Gegner mit magischem Feuer, das fünf Runden lang 1W10 Schaden anrichtet.","Erw, +20 MP: Statt eines Schwertes, ist es eine Peitsche, die einen Gegner auch umschließen kann (siehe Peitsche). Sie hat bis zu 20m Reichweite."
Zeichen (Leitmagie),1,Unglaube,"Dieses Zeichen lässt den Former alle Ungläubigen erkennen. Ungläubig ist, wer nicht die Gottheit des Formers verehrt. Bei Manövern gegen Ungläubige steht ihm seine Gottheit mit einem Bonus für die Dauer der Form bei.  Feinde seines Gottes werden besonders markiert, und gegen diese erhält der Former sogar einen Schadensbonus für die Dauer des Zeichens.","Sichtweite","Dauer, 1 Minute","Effekt, Manöverbonus +1 gegen Ungläubige","Effekt, Schaden +1 gegen Feinde des Gottes","Reichweite, Radius von 3m/Stufe",,"Verst, +1 MP: +1 Minute","Verst, +1 MP: +1 Manöverbonus (maximal +4)","Verst, +1 MP: Schaden +1 (maximal +8)","Erw, +10 MP: Ungläubige und Feinde werden für alle sichtbar für die Dauer markiert.",
Zeichen (Leitmagie),2,Göttliches Zeichen,"Diese Form lässt ein Göttliches Zeichen sichtbar werden. Häufig fällt es schwer diese richtig zu deuten. Ungläubige könnten an der Wahrhaftigkeit zweifeln. Gläubige hingegen werden das Wirken ihres Gottes darin erkennen.","Sichtweite","Dauer, eine Runde",,,,,"Verst, +1 MP: +1 Runde",,,,
